certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
family,103,Thriller/Crime/Mystery,7.6,46.0,379020,56000369.0,low,average,low,low,low,2000's
over 18,124,Drama,7.6,67.0,83158,3081925.0,low,low,average,average,average,2000's
over 18,105,Drama,7.6,73.0,65939,697181.0,low,low,average,low,low,2000's
over 18,93,Comedy,7.6,45.0,67360,548707.0,low,low,low,low,low,2000's
all public,133,Drama,7.6,76.0,70925,6167817.0,average,average,low,average,low,2000's
over 18,89,Comedy,7.6,81.0,67370,5739376.0,average,low,low,low,low,2000's
family,124,Thriller/Crime/Mystery,7.6,70.0,224545,16290476.0,high,average,average,low,low,2000's
over 18,129,Thriller/Crime/Mystery,7.6,56.0,62659,45289.0,average,average,low,low,low,2000's
all public,106,Drama,7.6,67.0,198677,51680613.0,low,high,high,low,average,2000's
over 18,135,Drama,7.6,68.0,169708,13060843.0,high,average,low,low,low,2000's
all public,113,Drama,7.6,30.0,451479,57938693.0,low,low,low,low,low,2000's
all public,113,Drama,7.6,73.0,376853,45064915.0,average,low,low,low,low,2000's
all public,110,Comedy,7.6,76.0,266842,52364010.0,high,high,average,low,low,2000's
all public,106,Drama,7.6,88.0,115827,13622333.0,high,low,average,low,low,2000's
all public,152,Action/Adventure,7.6,64.0,658185,317575550.0,average,high,low,low,low,2000's
family,101,Thriller/Crime/Mystery,7.6,74.0,337651,96522687.0,average,average,low,low,low,2000's
over 18,124,Drama,7.6,52.0,240714,52990775.0,low,high,low,low,low,2000's
all public,131,Drama,7.6,53.0,243729,51401758.0,average,low,high,low,low,2000's
all public,145,Action/Adventure,7.6,80.0,508417,132072926.0,high,high,low,low,low,2000's
over 18,146,Drama,7.6,74.0,91557,50668906.0,average,high,low,low,average,1990's
all public,101,Comedy,7.6,64.0,490062,15070285.0,low,high,low,low,low,2000's
family,81,Thriller/Crime/Mystery,7.6,77.0,188317,7267585.0,low,average,low,low,low,1990's
all public,170,Drama,7.6,78.0,172710,36400491.0,low,average,average,low,low,1990's
all public,88,Other,7.6,71.0,256906,120620254.0,low,low,low,average,low,1990's
over 18,118,Action/Adventure,7.6,41.0,259753,10680275.0,high,high,average,low,low,1990's
all public,100,Thriller/Crime/Mystery,7.6,66.0,187927,14378331.0,low,low,low,high,low,1990's
family,147,Thriller/Crime/Mystery,7.6,49.0,186734,49100000.0,average,high,low,average,low,1990's
all public,134,Thriller/Crime/Mystery,7.6,52.0,131101,3796699.0,high,low,average,low,low,1990's
all public,136,Drama,7.6,84.0,102598,43182776.0,high,low,high,low,low,1990's
all public,128,Action/Adventure,7.6,58.0,364420,100012499.0,average,high,low,high,low,1990's
over 18,121,Action/Adventure,7.6,62.0,90442,1037847.0,average,high,low,low,low,1990's
all public,135,Drama,7.6,69.0,73172,71516617.0,high,high,high,low,low,1990's
all public,92,Comedy,7.6,88.0,64390,1464625.0,high,low,high,low,low,1990's
over 18,113,Action/Adventure,7.6,56.0,171640,40903593.0,low,average,low,low,low,1990's
all public,102,Comedy,7.6,78.0,165465,7993039.0,high,low,low,average,low,1990's
family,120,Comedy,7.6,68.0,107325,52929168.0,low,low,average,low,low,1990's
all public,118,Other,7.6,90.0,27071,453243.0,average,low,low,low,low,1990's
over 18,99,Comedy,7.6,66.0,80487,1794187.0,low,low,low,low,low,1990's
all public,103,Comedy,7.6,63.0,488817,285761243.0,average,low,low,low,low,1990's
all public,162,Thriller/Crime/Mystery,7.6,60.0,359809,66666062.0,high,high,average,low,low,1990's
family,95,Comedy,7.6,76.0,195663,92823600.0,high,low,low,high,average,1980's
all public,83,Other,7.6,88.0,237696,111543479.0,average,average,low,low,low,1980's
all public,85,Comedy,7.6,76.0,152871,78756177.0,low,low,low,low,low,1980's
all public,93,Comedy,7.6,72.0,124773,49530280.0,average,low,low,low,low,1980's
all public,109,Action/Adventure,7.6,68.0,236894,65207127.0,average,average,low,low,low,1980's
all public,99,Thriller/Crime/Mystery,7.6,82.0,87745,2150000.0,high,high,low,average,low,1980's
family,109,Drama,7.6,68.0,27650,119285432.0,low,low,low,low,low,1980's
all public,96,Action/Adventure,7.6,77.0,166588,12465371.0,average,average,low,low,low,1980's
family,92,Action/Adventure,7.6,65.0,93878,22490039.0,low,low,low,low,low,1970's
all public,95,Action/Adventure,7.6,74.0,32802,76657000.0,low,low,low,low,low,1970's
all public,112,Action/Adventure,7.6,76.0,121731,43000000.0,average,high,low,low,low,1970's
all public,121,Drama,7.6,59.0,73662,35000000.0,average,low,low,low,low,1970's
all public,138,Drama,7.6,90.0,184966,132088635.0,high,low,low,low,low,1970's
all public,112,Comedy,7.6,87.0,26337,959000.0,average,low,low,average,low,1970's
family,157,Drama,7.6,77.0,30144,696690.0,high,low,low,low,low,1970's
all public,144,Action/Adventure,7.6,50.0,45338,1378435.0,low,high,low,average,low,1970's
all public,78,Other,7.6,65.0,166409,141843612.0,low,low,low,low,low,1960's
all public,87,Comedy,7.6,96.0,40351,13780024.0,low,low,low,low,low,1960's
family,118,Drama,7.6,85.0,43374,30500000.0,high,low,low,low,low,1950's
