certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
all public,121,Comedy,8.2,98.0,243943,25000000.0,high,low,low,average,low,1950's
all public,105,Thriller/Crime/Mystery,8.2,75.0,158335,12562.0,high,low,average,low,low,1950's
family,138,Drama,8.2,98.0,120539,10177.0,low,average,low,average,low,1950's
family,126,Action/Adventure,8.2,98.0,114304,5014000.0,average,average,low,low,low,1940's
over 18,122,Drama,8.1,95.0,63134,3759854.0,low,low,low,low,low,2010's
all public,145,Drama,8.1,84.0,113649,2006788.0,average,low,low,low,low,2010's
over 18,139,Drama,8.1,74.0,50700,3492754.0,low,low,low,low,low,2010's
all public,137,Action/Adventure,8.1,77.0,647884,226277068.0,high,average,low,low,low,2010's
over 18,118,Drama,8.1,86.0,371538,14677674.0,low,average,low,low,low,2010's
over 18,122,Comedy,8.1,77.0,177059,3107072.0,low,low,low,low,low,2010's
family,99,Action/Adventure,8.1,88.0,707630,59100318.0,high,low,low,low,low,2010's
all public,149,Drama,8.1,79.0,859695,167767189.0,high,average,low,low,low,2010's
all public,139,Drama,8.1,71.0,435928,67209615.0,average,low,low,low,low,2010's
all public,95,Other,8.1,94.0,616228,356461711.0,average,low,low,low,low,2010's
all public,134,Drama,8.1,96.0,640533,56671993.0,low,low,low,low,average,2010's
family,123,Action/Adventure,8.1,74.0,432811,26947624.0,high,average,low,low,average,2010's
family,152,Action/Adventure,8.1,81.0,291289,117624028.0,high,high,average,low,low,2010's
all public,129,Drama,8.1,93.0,420316,45055776.0,average,low,low,high,average,2010's
family,93,Other,8.1,85.0,51679,857524.0,low,low,average,low,low,2010's
all public,153,Thriller/Crime/Mystery,8.1,70.0,601149,61002302.0,high,average,low,low,average,2010's
family,120,Action/Adventure,8.1,90.0,882316,154058340.0,average,average,low,low,low,2010's
over 18,116,Drama,8.1,72.0,720450,148095302.0,high,high,low,low,low,2000's
family,130,Action/Adventure,8.1,85.0,764493,381011219.0,average,high,high,high,average,2010's
family,130,Drama,8.1,68.0,48582,1498210.0,low,low,low,low,low,2000's
all public,98,Other,8.1,75.0,666773,217581231.0,average,low,low,average,low,2010's
over 18,148,Action/Adventure,8.1,73.0,572921,18354356.0,low,low,low,average,low,2000's
over 18,122,Thriller/Crime/Mystery,8.1,91.0,856916,74283625.0,average,average,average,low,average,2000's
family,132,Drama,8.1,86.0,635975,100492203.0,high,low,low,average,low,2000's
family,121,Drama,8.1,79.0,334320,23530892.0,low,average,low,low,low,2000's
over 18,140,Action/Adventure,8.1,64.0,37820,1111061.0,low,low,average,low,low,2000's
over 18,80,Drama,8.1,90.0,236311,5820649.0,high,high,high,low,low,2000's
family,131,Thriller/Crime/Mystery,8.1,82.0,139558,14131.0,average,average,low,low,low,2000's
over 18,111,Action/Adventure,8.1,69.0,1000639,70099045.0,high,average,average,low,low,2000's
all public,100,Other,8.1,90.0,949565,380843261.0,average,low,low,low,low,2000's
all public,141,Drama,8.1,75.0,832846,164615351.0,high,high,low,low,low,2000's
